But	Maar
involve	betrek
Philistine	Filistynse
pictured	wat
Minister	minister
for	sy
picked	opgetel
in	bly
wonderful	wonderbaar
asleep	ontslaap
sooner	gouer
temperatures	temperatuur
C	Celsius
deterioration	agteruitgang
then	Destyds
Fascist	Fascistiese
Japan	Japannese
going	aangaan
reduce	minder
an	per
present	nou
rugged	ruwe
	besoek
In	By
shoplifting	winkeldiefstal
must	beslis
indirect	indirekte
Do	moet
called	noem
committee	noodlenigingskomitee
jewel	juweel
chorus	koor
reading	Skriflesing
disrupt	ontwrig
incense	wierook
National	Nasionaal
Socialist	Sosialistiese
promise	beloof
happen	met
happen	nie
what	Waarvan
phases	fases
worthless	waardeloos
wicked	sleg
frontier	grens
plus	asook
magic	toorkuns
No	Nie
searching	naspeur
hid	verborge
Daily	elke
trial	beproef
dying	gesterf
horizontally	horisontaal
Prayer	gebed
Countless	Tallose
possibility	moontlik
Polynesians	Polinesiërs
currents	seestrome
chiefly	hoofsaaklik
not	&#93
diverse	verskillende
eagerness	gretigheid
Moreover	Ook
misgivings	bedenkinge
southeast	suidoos
What	Waarvoor
driving	ry
twentieth	twintigste
especially	spesiaal
Regarding	van
commendation	lof
Philippine	Filippynse
from	behalwe
produce	&apos
sacrifice	offerandes
Applying	As
approaches	nader
momentarily	oomblik
aside	eenkant
Worldly	Wêreldse
area	oppervlakte
kid	kind
apes	ape
produced	opgelewer
burdened	belas
persecuted	vervolgde
grant	gee
incredibly	ongelooflik
ended	ou
valuable	nuttige
signal	sein
traveler	reisiger
changed	het
Judging	oordeel
partner	pioniermaat
controversy	geskille
punishing	straf
comprehension	begrip
Col	Kol
forth	weer
hull	romp
hour	tyd
mood	bui
lush	welige
who	wie
Bridegroom	Bruidegom
manslayer	mensemoordenaar
by	wie
happen	plaasvind
observe	vier
spacecraft	ruimtetuig
colonial	koloniale
industry	nywerheid
ally	bondgenoot
trusted	vertroue
cooperating	saamwerk
seek	na
strain	spanning
designed	saamgestel
rejoiced	verheug
circulation	verspreiding
before	vorige
studied	het gestudeer
salute	salueer
patriotic	patriotiese
Bill	Verklaring
Rights	Regte
exercise	beoefening
password	wagwoord
covenant	verbondsvolk
common	n
That	So
put	beklee
end	geëindig
mystical	mistieke
summed	opgesom
Yoruba	Joroeba
take	gerus
intimidated	geïntimideer
living	gewoon
bring	die
Child	Kind
maintained	stand
flags	vlae
told	beveel
foot	meter
	gewerk
monuments	monumente
differences	verskil
billion	biljoen
sales	verkope
Honesty	Eerlikheid
Christian	Christengetuies
convenient	gerieflik
offended	aanstoot
Presbyterian	Presbiteriaanse
tomb	grafkelder
offerings	offerandes
then	sal
to	tog
Trying	probeer
shaped	gevorm
--	
Carthage	Kartago
handle	om
declare	sê
processing	verwerk
hundred	tweehonderd
plant	plante
baths	baddens
rendered	vertaal
implies	dui
Unquestionably	ongetwyfeld
glorious	pragtige
cleric	geestelike
that	aangesien
observed	waargeneem
affluent	welvarende
500,000	500 000
corners	uithoeke
animal	diersoorte
set	rig
thousand	duisende
orderly	ordelike
played	het
desperate	wanhopige
boiled	gekook
is	praat
bearing	verband
respects	respekteer
group	godsdiensgroep
diary	dagboek
thrown	weggegooi
note	kennis
This	Ons
Overseers	Opsieners
continually	gedurig
Wherever	Waar
she	dit
Initially	Aanvanklik
My	Ons
I	nog
implied	geïmpliseer
Heaven	Hemel
mounted	gemonteer
staple	stapelvoedsel
Difference	verskil
&apos;re	&apos;s
for	jy
suggest	voorstel
Greed	Hebsug
drunken	dronk
renders	gee
due	gepaste
which	waarvandaan
distance	ent
Out	uit
hypocrisy	huigelary
remained	oorgebly
near	amper
who	mense
related	met
Baptism	doop
For	jare
similar	so
behind	van
are	heel
desired	begeer
inspired	inspirasie
successors	opvolgers
consequently	gevolglik
congregation	gesit
bought	het
valuable	kosbare
expected	verwagte
ours	s
Eternal	Ewige
especially	Veral
beast	diere
environment	atmosfeer
wayward	weerspannige
you	vind
itself	hom
ordination	ordening
since	Sedertdien
wetlands	moerasse
Athenians	Atheners
woke	wakker
lay	was
abnormal	abnormaal
hope	Koninkrykshoop
Problems	Probleme
share	verkondig
up	af
drops	druppels
juice	sap
does	sluit
well	beslis
to	aan aan
you	jou jou
originally	aanvanklik
worn	gedra
corporations	korporasies
cautioned	gewaarsku
Put	Sit
the	oor
adults	volwasse
Too	Te
legal	wettig
excellencies	voortreflikhede
step	tree
confirmation	bevestiging
individual	Iemand
disowned	verloën
editorial	hoofartikel
leave	&apos
aristocracy	aristokrasie
Fascism	Fascisme
tried	proef
conservation	bewaring
decorate	versier
hopeless	hopelose
it	daaruit
football	voetbal
means	die
seas	see
residents	bewoners
discerned	besef
worthless	werd
find	sal
soon	onmiddellik
flavor	smaak
providing	deur
Peninnah	Peninna
brings	meebring
	nou
uses	gebruike
Burren	Burren streek
cattle	vee
to	iets
stability	bestendigheid
spontaneous	spontane
spoil	bederf
cost	kos
part	deelneem
deserts	woestyne
loyal	getrou
humidity	vogtigheid
mold	skimmel
Felix	Feliks
antigens	antigene
put	ons
exhausting	uitputtend
values	waardeer
much	net
victory	oorwinningslied
alongside	saam
conveys	dra
church	kerklidmate
audio	oudio
Caesarea	Cesarea
godly	God
association	vereniging
a	se
cork	kurk
Material	Materiële
dropped	val
leaving	om
witnessed	aanskou
spoke	het gepraat
tender	teer
adoptive	aanneemouers
have	oor
does	neem
launched	gelanseer
virtues	deugde
woods	bos
translator	vertaler
descendant	afstammeling
potato	aartappel
workers	gesondheidswerkers
we	en
letting	dat
way	sodoende
Knowing	geweet
sentence	doodsvonnis
exclusive	eksklusiewe
mile	kilometer
crocodile	krokodil
Zoo	dieretuin
the	Hierdie
ambitious	ambisieus
water	die
Naphtali	Naftali
	gebring
dusty	stowwerige
	gedra
sad	ongelukkig
interviewed	onderhoud gevoer
exhorts	vermaan
itself	
many	daar
up	&#93
comforting	bemoedigende
unwelcome	onwelkome
on	weens
and	ons
teenage	tienderjarige
breakdown	verval
Essenes	Essene
concepts	idees
populated	bevolkte
ends	einde
Unless	As
Scythians	Skitiërs
captured	verower
enter	binne
limits	grense
exaggerated	oordryf
&#91	5
Midianites	Midianiete
authorized	reg
cheese	kaas
constitutional	grondwetlike
Jerry	Leon
apart	buiten
stimulate	stimuleer
	1
provides	lewer
profits	wins
weight	weeg
unknown	nie
global	wêreld
health	gesondheids
forever	ewig lewe
data	gegewens
imprisonment	gevangenisstraf
properties	eiendomme
a	deur
will	te
neatly	netjies
addition	Boonop
these	dít
application	aansoekvorm
his	dat
chest	bors
self	homself
produced	&apos
birth	baar
chaff	kaf
settled	hulle
generously	mildelik
recognizes	erken
as	betrekking
to	dat moet
endanger	gevaar stel
so	Daarom
colporteur	kolporteur
legislation	wetgewing
crime	misdadigheid
offering	aanbied
250,000	250 000
four	Vier
man	mensekind
wisdom	verstandige
Bible	Bybelkennis
so	sal
rough	growwe
thickness	dikte
-	deur
Century	eeu
interests	belangstel
education	Bybelonderrig
The	&apos;Die
uniting	verenigende
revelations	openbaringe
nationalistic	nasionalistiese
choosing	om
reputation	bekend
does	&apos
Sometimes	Partymaal
sounded	het geklink
harbors	hawens
significance	betekenisvol
one	was
assignment	taak
training	opvoeding
informative	leersaam
abandoned	vaar
unions	vakbonde
CFCs	CFK
are	&apos;s
essence	wese
mind	geestesoog
natural	nature
babies	kleintjies
engaged	verloof
drug	dwelmgebruik
justification	regverdigmaking
away	hulle
swift	vinnig
dear	geliefde
rock	klip
thwart	dwarsboom
become	al
pain	hartseer
Hushai	Husai
accessible	toeganklik
	ooreenstem
climbed	geklim
shook	geskud
factions	faksies
Within	In
television	televisieprogram
look	daarna
turbulent	onstuimige
investigators	navorsers
lets	laat
natural	sigbare
avoid	te
fierce	wreed
Hall	Koninkryksale
office	opsienersamp
over	wat
resources	geld
receive	kry
surviving	om
handed	oorhandig
low	laagtepunt
single	ongetroudes
what	waarop
leaders	wêreldleiers
illegitimate	egtelike
divorce	egskeidingsyfers
many	baie
clues	leidrade
ending	einde
adoptive	pleegvader
Members	Lede
classrooms	klaskamers
ill	swak
while	terwyl
bill	snawel
no	Geen
chaotic	chaotiese
had	aan
send	Stuur
	skep
flee	wegvlug
are	net
enter	betree
weight	las
typing	tik
thereby	Sodoende
nuns	nonne
candles	kerse
converse	praat
here	hierheen
different	verskeie
balloons	ballonne
nightclubs	nagklubs
dancing	gedans
fascinating	interessante
paradisaic	paradysagtige
accounts	verhale
serpents	slange
biodiversity	biodiversiteit
report	meld
extinct	uitgestorwe
the	alles
About	oor
letup	ophou
At	Tydens
faithless	ontroue
toy	speelding
placed	versprei
Those	Dit
hesitation	aarseling
above	oor
Consequently	Gevolglik
edict	edik
spending	deurbring
praised	geloof
national	volksgroepe
more	dit
lodging	verblyf
manger	krip
be	julle
an	baie
form	gedaante
deep	ernstige
ask	jy
stored	gestoor
Historians	Geskiedkundiges
driven	gedryf
decrees	verordeninge
say	se
to	waarmee
His	se
hope	verwag
have	dat
prior	voordat
astonishment	verbasing
colds	verkoues
ozone	osoon
Additionally	Verder
trillion	biljoen
multiply	vermeerder
lead	veroorsaak dat
poisoning	vergiftiging
survivors	oorleef
To	einde te
captive	gevangenes
shaking	skud
setbacks	terugslae
backward	agtertoe
commendable	prysenswaardige
simplify	vereenvoudig
charge	aanklag
times	geleenthede
earnest	ernstige
&apos;m	my
victim	slagoffers
lure	lok
are	vandag
decorated	versier
as	volgens
So	Tot
truthfully	waarlik
turned	gedraai
coincidence	toeval
significance	belang
distract	aandag aflei
take	verg
disobeying	ongehoorsaam
discerned	onderskei
adulthood	volwassenheid
biologists	bioloë
reefs	koraalriwwe
Beloved	Geliefdes
winding	kronkelende
object	beswaar
diagnostic	diagnostiese
He	Sy
drive	bestuur
Tychicus	Tigikus
worked	saam
orbit	wentel
continuous	voortdurend
particles	deeltjies
hurled	neergeslinger
Even	al
follow	op
blossoms	blomme
grown	groot
who	in
Beginning	Vanaf
hostages	gyselaars
put	gesit
reasoning	geredeneer
versions	weergawes
concentrating	konsentreer
essence	kern
As	toe
plunged	gedompel
staying	bly
commissioned	beveel
grief	smart
over	aan
continues	voortgaan
unavoidable	onvermydelik
epidemics	epidemies
scourge	plaag
tablets	tablette
addition	ook
Comfort	Vertroosting
Initially	aanvanklik
Terah	Tera
teaching	-
Fahrenheit	Celsius
recording	opname
refers	na
records	verslae
tombs	grafkelders
provides	bevat
Regarding	verband
exceptional	buitengewone
1,200	1200
disturbed	versteur
requested	het
application	aansoek
Basically	basies
any	om
her	hom
circuit	Kringopsiener
hand	het
accusers	beskuldigers
I	Ek Ek
below	laer
rearing	groot
least	geringste
Influence	invloed
get	staan
rivalry	wedywering
Bethel	Bethelhuise
horned	horings
&apos;S	se
sticky	klewerige
suffered	is
True	wel
explanation	verklaring
nut	neut
successfully	sukses
overseer	Christenopsiener
warming	verwarming
increasing	vermeerder
twins	tweeling
deteriorate	agteruitgaan
empowered	krag
process	te
disrespectful	oneerbiedige
anguish	angs
offer	om
satisfying	bevrediging
proposed	voorgestelde
abound	volop
dishonoring	godonterende
melech	Meleg
monetary	monetêre
check	bevestig
gaining	verkryging
cornerstone	hoeksteen
tasted	gesmaak
volumes	boeke
cfs	cms
defend	beskerm
devastating	verwoestend
cloth	doek
Then	En
listened	het
refreshments	verversings
glasses	glase
These	Dít
exhortation	aansporing
coordinate	koördineer
reforms	hervormings
suggests	voor
look	Kyk
marmots	marmotte
miss	misloop
circumference	omtrek
consider	let
youngest	jongste
ducks	eende
unfortunate	ongelukkige
respond	antwoord
devout	vroom
Mexicans	Mexikane
texture	tekstuur
can	bes
leading	vooraanstaande
scandal	skandaal
check	tjek
review	hersiening
closet	kas
items	dinge
Moabitess	Moabitiese vrou
cared	gesorg
proclaimer	verkondiger
immersion	onderdompeling
followed	volg
hospitality	gasvry
$	$ (
work	wat
skepticism	skeptisisme
manufacturer	vervaardiger
southwest	suidwestelike
Yemen	Jemen
suggest	beweer
Her	haar
practice	gebruike
consist	bestaan
the	kan
depend	vertrou
Worse	erger
of	reeks
ran	weggehardloop
birth	geboortebeperking
struggle	stry
schedule	tyd
time	opsy
singleness	ongetroude lewe
run	vlug
plight	verknorsing
depend	staat
neither	nòg
nor	nòg
bereaved	bedroefdes
college	kollege
textbooks	handboeke
aboard	boord
laughed	gelag
labor	werk
renowned	bekend
adaptable	aanpasbaar
allowing	dat
educational	opvoedkundig
..	
feat	prestasie
Everything	alles
fills	vul
mixed	gemeng
power	gesag
Imperial	Keiserlike
Seek	Soek
malignant	kwaadaardige
nervous	senustelsel
Wise	Wyse
Music	musiek
yield	gee
forefather	voorvader
Put	Stel
surgeon	chirurg
caring	sorg
land	aarde
Immediately	onmiddellik
internal	inwendige
him	hom nie
overshadow	oorskadu
maintain	om handhaaf
original	oorspronklik
Godly	Goddelike
increased	toename
extension	uitbreiding
affections	geneenthede
solely	net
haven	het
interested	wil
Complutensian	Complutensiese
following	nadat
borrowing	leen
confusing	verwarrend
worked	het gewerk
insect	insekte
examine	bespreek
	gerus
orchid	orgidee
point	verwys
young	jeug
over	oorneem
glacier	gletser
heels	hakke
rhythms	ritmes
tides	getye
weaken	ondermyn
illiterate	ongeletterd
quake	aardbewing
upon	is
means	geensins
into	in in
Reference	naslaanuitgawe
backed	gesteun
condemned	veroordeelde
receiving	&apos
measure	maat
controversial	omstrede
judgment	oordeelsboodskappe
ladder	leer
and	terwyl
depravity	verdorwenheid
returned	terugkom
old	bejaarde
although	maar
food	kossoort
practices	godsdiensgebruike
collision	botsing
influencing	beïnvloed
rebel	opstand kom
translated	vertaalde
source	waterbron
give	skenk
mistreated	mishandel
informative	leersame
featured	het
persist	voortduur
Believe	glo
sense	verloor
watch	let
took	met
join	sluit by
modified	verander
small	min
battles	gevegte
Say	sê
painting	skildery
crucial	noodsaaklik
fate	noodlot
did	doen
has	deur
Brazilians	Brasiliane
how	waarop
Live	Paradys
Forever	aarde
enable	aktiveer
multiple	veelvuldige
Truly	Ja
argued	gestry
right	Goed
vanished	verdwyn
Where	Waarheen
occupied	beset
How	so
darkness	donkerte
hearing	gehoorverlies
are	..
genetics	genetika
blow	blaas
	behels
killed	lewe
candle	kers
trunks	stamme
engaged	deelgeneem
getting	dat
focus	spits
rich	baie
Michal	Migal
against	met
emergencies	noodgevalle
kiss	soen
embrace	omhelsing
orders	beveel
rented	gehuurde
	
will	..
beyond	verby
unparalleled	ongeëwenaarde
lifetime	lewenslange
been	daar
going	ek
of	jy
distracted	aandag afgelei
IN	in
pursuing	om
important	bowenal
as	meer
applications	aansoeke
praisers	lowers
mechanism	meganisme
military	krygsmag
portable	draagbare
support	onderskraging
rock	rockmusiek
recall	dink
onlookers	toeskouers
man	persoon
regulations	insettinge
very	selfs
Socrates	Sokrates
beautiful	mooier
Wise	wyse
counseled	vermaan
Arimathea	Arimatea
eagerness	gretig
boring	vervelig
foster	bevorder
contrast	anders
ritual	ritueel
contradictions	teenstrydighede
Christopher	Christophorus
corner	uithoek
landed	geland
note	briefie
teams	spanne
plow	ploeg
tractor	trekker
Fifty	Vyftig
too	Alte
burning	verbrand
warmth	warmte
confidence	vertrou
or	Of
Methuselah	Metusalag
when	op
self	gevoel
speaking	sin
recovering	herstel
entry	inskrywing
execution	tereggestel
unify	verenig
life	te
has	het &apos
rising	styg
kind	tipe
commendation	prys
one	n mens
open	&apos
At	het
donors	skenkers
lacked	gebrek
for	namens
Dedication	Toewyding
had	saam
Reich	Ryk
teens	tienerjare
Inca	Inka
greedy	gierigaards
are	daaraan
treats	behandel
drove	gery
men	het
truly	regtig
resurrecting	wek
well	heelwat
formation	vorming
s	veertigerjare
enormous	groot
reportedly	glo
subsequent	latere
desperately	desperaat
fittingly	gepas
barely	skaars
stuff	goed
was	met
Organization	organisasie
to	hou
up	waaruit
immunity	immuniteit
theirs	hulle
Turin	Turyn
that	dit
do	reageer
acting	opgetree
while	al
comforters	vertroosters
So	Die
the	gaan
ugly	lelike
caterpillar	ruspe
Integrity	Onkreukbaarheid
completeness	volkomenheid
respect	gerespekteer
Tuesday	Dinsdag
are	Daar
yield	lewer
worldly	wêreld
convincing	oortuigend
weighing	weeg
broadcast	uitgesaai
exist	wees
collectors	belastinggaarders
loves	vir lief
concern	bekommerd
appliances	toestelle
erupted	uitgebreek
adopt	neem
Prison	gevangenis
partnership	vennootskap
How	opsig
unreasonable	onredelike
delete	uitvee
&apos	en
unwilling	bereid
shepherds	Christenherders
family	gesinsprobleme
be	daarop
repented	berou
around	op
identified	het
texts	geskrifte
Society	het
awareness	bewus
added	by
need	nodigheid
years	jarelange
aggravated	vererger
Instead	Moenie
stated	het
be	end
up	opgetel
cleaned	skoongemaak
of	God
feed	voer
Depression	Depressie
hard	swaar
off	vertrek
met	bymekaargekom
outback	Agterveld
contaminated	besmette
What	Waaroor
firm	firma
Apache	Apaches
everyone	al
is	mense
excellence	voortreflikheid
panels	panele
story	verdieping
hopelessly	hopeloos
qualify	bekwaam
scholars	Bybelgeleerdes
hundred	honderde
pursuing	nastreef
evils	euwels
rightly	regte
disposed	gesindheid
return	terugkom
mill	meul
horizontal	horisontale
upper	boonste
under	met
When	In
sexuality	seksualiteit
not	jy
navy	vloot
British	Britte
teacher	Bybelonderrigter
survive	bestaan
such	soortgelyke
relationships	gesinsverhoudings
missing	ontbrekende
advance	vooruitgang
nagging	knaende
	Wanneer
peaceful	vrede
ideas	opvattings
spectrum	spektrum
center	handelsentrum
balanced	ewewig
Evidence	bewyse
shrine	heiligdom
courage	moed bymekaargeskraap
Throughout	Regdeur
only	as
raise	maak
sadistic	sadistiese
does	hom
Apart	Buiten
gamblers	dobbelaars
Several	Etlike
underestimate	onderskat
sour	suur
airborne	lug
moved	geroer
introduced	het
less	kleiner
talk	gesprek
requesting	vra
necessity	noodsaaklik
virginity	maagdelikheid
Even	nogtans
prisons	gevangenisse
internal	innerlike
walked	het
Ishtar	Isjtar
Read	lees
Remember	gedagte
figuratively	figuurlike
appealing	aantreklike
sounds	klink
division	verdeling
hesitate	aarsel
saint	heilige
The	Ek
painting	verf
Behind	Agter
Christians	Christen
fasting	vas
sinning	sondig
slopes	hange
out	raak
cynical	sinies
did	hét
depressed	terneergedruktes
resulting	tot
Teaching	Onderrigting
women	Vroue
well	en
addition	Buiten
Too	te
powerful	kragtigste
continued	aanhou
indoor	binnenshuise
sits	sit
subjects	Bybelonderwerpe
heads	hoofde
priests	hoëpriesters
Prince	Prins
by	waarop
for	sal
pilots	vlieëniers
spots	kolle
Truth	Waarheid
other	nog
mutual	onderlinge
psychiatrists	psigiaters
it	&quot
homes	tuis
bent	daarop
ungrateful	ondankbaar
early	begin
take	haal
hold	vir
highest	grootste
give	laat
up	vaar
enrolled	ingeskryf
spends	bestee
outbreak	uitbreek
baking	bak
architects	argitekte
badness	verdorwenheid
cover	omslag
profess	sê
take	wegneem
fossil	fossielbrandstowwe
his	homself
Because	Danksy
besides	behalwe
rise	toeneem
Although	hoewel
designer	ontwerper
definitions	definisies
	duidelik
odor	reuk
overcome	oorwin
results	uitslae
using	en
agree	eens
rhino	renosters
if	Asof
matter	verband
Plain	vlakte
is	glad
showed	het getoon
involves	met
delivery	bevalling
Lebanon	Libanon
fits	pas
onto	aan
drink	gedrink
Mr	mnr
1920	twintigerjare
studies	studeer
frost	ryp
seek	&apos
for	gekry
Have	het
understand	Verstaan
quote	aanhaal
leading	vername
limit	uiterste
city	stede
them	die
granddaughter	kleindogter
elderly	Bejaarde
	—
drinks	drankies
to	ons kan
Bear	Hou
discern	besef
permissive	permissiewe
were	se
were	vir
closed	toegemaak
maintain	bewaar
further	meer
With	by
of	waarvan
spiritually	geestelikheid
final	finaal
responsibility	verantwoordelik
unloving	liefdeloos
filling	en
secure	verseker
problems	gesinsprobleme
watch	na
detailed	gedetailleerde
right	op
chopsticks	eetstokkies
indicating	toon
learn	&apos
Start	Begin
Mum	ma
earlier	gelede
mode	modus
adjacent	aangrensende
single	enkel
treatments	behandeling
dehydration	ontwatering
Federation	Federasie
workmates	werkmaats
blaming	blameer
common	Algemene
Jehovah	hy
	het het
govern	regeer
floodwaters	vloedwaters
prelude	voorspel
palm	palmtakke
both	dit
Bishop	biskop
beyond	wat
time	dag
is	gebruik
limitless	onbeperkte
waits	wag
rebels	opstandelinge
manipulate	manipuleer
does	dra
followed	wat
happened	toevallig
it	mens
Find	Vind
healthy	heilsame
picnic	piekniek
loved	geliefd
be	daarin
cultivate	om
live	vir lewe
bird	voëltjie
track	spoor
loved	gehou
drawing	teken
passage	gedeelte
mounting	toenemende
forward	na
adoption	aanneem
so	
companionship	kameraadskap
build	versterk
man	Hy
breadth	breedte
ratio	verhouding
view	siening
rich	ryke
down	op
Airport	lughawe
part	lid
Start	begin
	voor
homes	gesinne
choked	verstik
worldwide	wêreldwyd word
Pages	Bladsye
concluded	slotte
unpaid	onbetaalde
double	dubbel
authorized	gesag
text	SMS
sailors	seemanne
Jehovah	&quot
up	laat
value	kosbaar
having	as
call	sê
disaster	rampspoed
proselytism	proselitisme
curing	genesing
coat	jas
degree	grade
have	steeds
field	grond
pests	plae
oppressive	onderdrukkende
dictatorship	diktatorskap
eliminated	verwyder
lifted	opgelig
starvation	verhongering
lying	lieg
sensible	verstandige
portrait	portret
picture	situasie
marvelous	wonderlik
firsthand	persoonlik
Grandparents	Grootouers
meeting	vergaderplekke
went	opgegaan
paralysis	verlamming
liberating	bevrydende
ostrich	volstruis
laughs	lag
sharing	deelname
running	lopende
In	Onder
attracted	gelok
about	of
person	wat
progressed	vordering
put	lê
rather	nogal
Fulfillment	Vervulling
quit	ophou
for	gunste
Authority	gesag
commanded	opdrag
mind	gees
Show	Wys
where	van
rainfall	reën
presents	&apos
dropped	afgeneem
afterward	agterna
accuse	beskuldig
imply	kenne
moon	volmaan
Realistically	realisties
	geval
exist	daar
crushed	verslae
dyes	kleurstowwe
toe	toon
boarded	boord
through	met
cm	meter
car	kar
jacket	baadjie
sent	vir
will	ook
enjoy	van
from	omdat
tool	instrument
commentary	kommentaar
material	inligting
covered	wat
and	en
Keep	hou
single	enkelmoeder
affected	aangetaste
There	
is	duur
suspected	vermoed
Living	Lewende
there	daarin
equality	gelykheid
opportunities	werksgeleenthede
ends	punte
could	hom
absorb	absorbeer
worrying	bekommer
determined	vasgestel
nephew	broerskind
experience	om
similar	sulke
Referring	verwysing
imitated	nagevolg
mind	oë
thrilled	opgewonde
methane	metaan
popular	algemeen
fertile	vrugbaar
By	teen
translation	vertaal
smiles	glimlag
partly	deels
mate	paar
colonel	kolonel
amazingly	verbasend
about	na
much	juis
aluminum	aluminium
demonstrate	openbaar
night	oornag
plates	borde
dishes	skottelgoed
Mrs	Mev
waited	wag
place	sit
archenemy	aartsvyand
poorer	armer
adversary	teenstander
participate	aan
fighting	geveg
inferior	minderwaardig
sweat	sweet
returned	teruggestuur
panel	paneel
hardship	ontbering
donkeys	donkies
aren	is
replied	gesê
you	is
sacrifices	offers
had	vroeër
exaggerate	oordryf
raging	gewoed
congregation	word
limiting	beperk
laborer	arbeider
plays	toneelstukke
slaughtered	geslag
Worldwide	Wêreldwyd
Ki	Kon
disaster	rampe
False	Valse
For	Met
removes	verwyder
grade	graad
week	weke
asserts	beweer
classic	klassieke
traditionally	tradisioneel
bad	slegs
crushed	verbrysel
true	so
hid	weggekruip
awe	ontsagwekkende
does	moet
long	graag
solvents	oplosmiddels
wonder	gewonder
At	Daarop
intrigued	gefassineer
populated	bevolk
send	uitstuur
respectful	eerbiedige
dig	grawe
Surprisingly	verbasend
rivals	mededingers
inflation	inflasie
Bethel	Bet El
Ancient	Eertydse
wide	hele
beautifully	pragtige
carrying	voer
full	al
versatile	veelsydige
forbidding	verbied
announce	kondig
spreading	verspreiding
cups	koppies
winds	wind
fully	voller mate
registered	geregistreerde
require	moet
Convention	Konvensie
menu	spyskaart
Had	Het
raven	raaf
expensive	duurste
check	kyk
aging	verouderingsproses
	gegaan
Learn	leer
curing	genees
point	het
villagers	dorpenaars
characteristics	karaktertrekke
quietly	stil
orchestra	orkes
Lives	lewe
in	deurdat
exploit	uitbuit
way	rigting
invariably	uitsondering
tempt	versoeking
Does	leer
responses	reaksies
livelihood	bestaan
breaking	verbreek
Medicine	Geneeskunde
effective	bekwame
evolved	geëvolueer
imagine	indink
employed	wat
comes	
perished	gesterf
schooling	skoolopleiding
promiscuous	promiskue
child	kindermishandeling
Background	Agtergrond
gladly	blydskap
accepted	het aanvaar
Kunihito	Koenihito
occurred	daar
without	te
kick	skop
among	wat
students	hoërskoolleerlinge
area	plek
difficulty	sukkel
prepare	om
comets	komete
singleness	ongetroud
testing	toetse
occurred	voorgekom
operate	opereer
avail	gebruik
down	hy
Enjoy	Geniet
recommended	aanbevole
Experienced	Ervare
comprehensive	omvattende
over	oorgeneem
does	jou
circles	sirkels
somewhat	effens
60	sestigerjare
divorces	egskeidings
tripled	verdriedubbel
	&quot
restored	weer
medicinal	medisinale
obviously	klaarblyklik
pack	pak
	sowel
warfare	oorloë
Christmas	Kersgeskenke
Origin	oorsprong
Questions	vrae
from	kom
Thou	Jy
writer	skryfster
survive	bly
point	sê
India	Indiese
mosaic	mosaïek
Finnish	Fins
of	kon
who	dit
Bohemia	Boheme
studies	studie
problem	gesondheidsprobleem
vision	gesigsvermoë
tested	beproef
octopus	seekat
conquistadores	veroweraars
by	hy
newborn	pasgebore baba
go	doen
lengths	moeite
authoritarian	outoritêre
tuberculosis	tering
appreciated	besef
according	word
world	n
believing	geglo
dissolved	ontbind
patriarchs	aartsvaders
devils	duiwels
unforgivable	onvergeeflike
cares	gee
doctors	Dokters
avoided	nie
stuck	gebly
by	gevolg
life	lewensvorme
picked	het
out	daaruit
this	hier
resulting	en
strong	baie
	geraak
seems	klink
leper	melaatse
plea	versoek
would	altyd
previously	vantevore
little	kindertjies
officer	beampte
behave	tree
calves	kalwers
ivory	ivoor
can	om
life	Lewe
violent	geweld
documented	gedokumenteer
authorized	gemagtig
respiratory	asemhalingsprobleme
case	dan
perish	omkom
delay	versuim
neglect	versuim
could	
checked	nagegaan
Forever	ewig lewe
increases	groter
south	suidwaarts
strikes	tref
scarcely	skaars
varieties	soorte
marked	het
justice	regverdigheid
At	aan
doing	besig
As	Op
out	end
enslaved	slawerny
	hulle
flu	griep
visited	na
arouse	wek
growth	gegroei
allegedly	bewering
Magdeburg	Maagdenburg
complex	ingewikkelder
match	ooreenstem
..	
upper	oorhand
hail	hael
true	waarlik
winged	gevleuelde
athlete	atleet
outgoing	uitgaande
intravenous	binneaarse
destructive	selfvernietigende
In	het
the	wêreld
as	nog
rose	het
omens	voortekens
depend	afhang
doubt	getwyfel
dated	gedateer
Mary	Marie
preface	voorwoord
gentlemen	here
sort	aard
enterprise	onderneming
good	n
make	sodat
dwelling	woning
peaceful	rustige
stark	skerp
three	3
presses	perse
	bespreek
bearers	ligdraers
motivate	aanspoor
considerate	bedagsaam
value	waardevol
thus	tot
childhood	kind
not	niemand
member	Lid
Archbishop	aartsbiskop
employment	sekulêre
skins	velle
woods	woude
Christian	die
despair	moed
opens	oop
as	byvoorbeeld
like	&apos
tenants	huurders
helicopter	helikopter
ambulance	ambulans
plot	komplot
through	dwarsdeur
mark	teken
detestable	gruwels
does	raak
shooting	skiet
weekly	weekblad
attack	aanvalle
striking	slaan
pummel	kasty
worth	moeite
it	werd
two	tweede
completely	geheel
plundered	geplunder
careers	loopbane
come	ontvang
be	plaasvind
distant	verre
minimal	minimale
reflecting	weerkaats
glow	gloed
about	omdat
divisions	verdeeldheid
person	
in	Wanneer
enslaved	verslaaf
Way	Weg
	wel
whoever	wie
Bible	met
gone	gaan
&apos;s	baie
gun	geweer
dancing	danse
house	huisie
than	daarvan
regarding	opsigte
weakened	verswakte
sharply	skerp
to	daar
noted	gemeld
suggest	sê
branch	takkantore
