When	Xa
territory	kumhlaba
stated	Wathi
size	ubukhulu
from	kule
death	sekufeni
young	abasebatsha
rejoicing	nemihlali
Looking	ndikhangela
Godly	uThixo
we	sikhe
everyone	abantu
of	wase
immorality	kakubi
slow	kade
pioneer	loovulindlela
the	ebona
Often	amaninzi
nature	ngokwemvelo
at	kuyo
servants	nezicaka
apostle	Njengompostile
fellow	abo
rural	yasemaphandleni
political	lobupolitika
patience	ngumonde
Asaph	uAsafu
true	eziyinyaniso
whatever	nasiphi na
virtue	isidima
continue	qhubekani
if	Ngokungathi
ministry	wayeshumayela
most	gqitha
love	bamthanda
understand	bayiqonde
Peace	Uxolo
Holy	Ungcwele
phone	ifowuni
Should	sifanele
Research	Uphando
righteousness	Ubulungisa
forests	ashinyeneyo
offering	umrhumo
forever	ongunaphakade
humble	ethobekile
mean	linokuthetha
Israel	zikaSirayeli
with	ngamandla
saw	abona
to	kule
gave	wawanika
sinned	wonayo
with	ngokuvisisana
a	nembono
animal	sisilwanyana
Philistines	zamaFilisti
usually	ngokufuthi
night	kubusuku
about	ngabantu
true	kuzaliseka
brochure	ncwadana inemifanekiso
Valley	kwiNtlambo
off	amangomso
These	Kule
harlot	henyukazi
be	kufika
theft	ubusela
waited	walinda
Ramah	eRama
In	xa
of	elikhulu
west	ngasentshona
indicating	ebonisa
position	kwisikhundla
Such	ngolo
not	akufuneki
teacher	Utitshala
Philippians	abaseFilipi
effort	mgudu
informally	ngokungacwangciswanga
have	abakhange
play	bedlala
publishers	Abavakalisi
was	yayinkulu
Kingdom	zobukumkani
helped	wandinceda
rope	lentambo
what	loko
direct	ngqo
	njengoko
correctly	kakuhle
meals	izidlo
one	nganye
ends	iziphelo
children	babantwana
cooperation	intsebenziswano
products	imveliso
taught	wayekufundisa
receives	ufumana
of	obalaseleyo
wrote	wayebhalela
bit	kancinane
even	mhlawumbi
thousand	abangamawaka
do	Ukwenza
this	ke
sent	bathumela
sons	nakoonyana
system	ikhoyo
side	kwecala
way	nangendlela
need	esiyifunayo
lifelong	bonke
a	lelinye
advances	inkqubela
safely	ngokukhuselekileyo
Four	emine
brother	Umkhuluwa
cross	emnqamlezweni
perform	imisebenzi
Ten	elishumi
fact	nesibakala
scribes	Ababhali
the	nqwelo
run	ukubaleka
sent	bathunyelwa
fine	kakuhle
Age	yesiZukulwana
ready	ekulungele
support	yokuxhasa
killing	ukubulawa
to	ukubulala
paper	phepha
that	ezenziwa
reach	bafikelele
the	ubunzima
make	lokwenza
guilty	unetyala
considered	igqalwa
drinks	iziselo
By	Ngokwenza
are	amaninzi
Ana	UAna
built	zakhiwa
Our	Lethu
served	wayekhonza
imitate	axelise
officer	gosa
yoga	iyoga
and	namalungu
avoid	ayakuphepha
roof	uphahla
day	Namhlanje
At	Kwindibano
My	Wam
principle	nomgaqo
end	icala
privileges	malungelo
moon	enyangeni
genetic	imizila yemfuza
The	ezi
initial	yokuqala
say	isithi
publisher	njengomvakalisi
Asaph	UAsafu
metal	esinamandla
material	ngokwezinto eziphathekayo
youths	lulutsha
health	Impilo
is	luza
demonic	yeedemon
Ephesus	base Efese
Psalm	yiNdumiso
for	labo
sight	phambi
how	yintoni
Matthew	nguMateyu
questions	yimibuzo
Scriptural	weZibhalo
resources	ubuncwane
a	lowo
he	waphinda
should	bufanele
hear	uve
I	ndandisenza
really	enyanisweni
good	ilungile
Israel	wamaSirayeli
Samuel	noSamuweli
teenage	akwishumi elivisayo
the	isimo
ties	amaqhina
live	nokuphila
commandment	myalelo
study	Ukufunda
through	kuloo
would	kwenza
principle	kumgaqo
document	xwebhu
Watchtower	SeMboniselo
first	baqala
profits	ingeniso
doubled	kabini
Teacher	Kumfundisi
key	ezibalulekileyo
groups	maqela
facilities	iindawo
contentment	ulwaneliseko
back	babuyela
Christendom	yeNgqobhoko
age	zokwaluphala
lake	edikeni
reading	ndifunde
millions	zizigidi
not	Akazange
tired	odiniweyo
involved	ukubandakanyeka
Michelle	Siziwe
boy	nkwenkwana
south	emzantsi
a	umatshini
around	kufutshane
frustration	unxunguphalo
injury	ukwenzakala
reputation	udumo
on	kumhlaba
Senegal	eSenegal
Empire	koBukhosi
describing	kokuchaza
fears	omoyikayo
works	asebenze
acceptable	wamkelekile
taxes	iirhafu
scale	lonke
us	sakwazi
official	ngokusemthethweni
species	eziphilayo
over	emva
color	imibala
color	umbala
on	ephathelele
of	yowama
essential	Kubalulekile
act	ngokuvisisana
just	njengoko
-	–
Their	yawo
faithful	abanyanisekileyo
wine	yiwayini
Spirit	nguMoya
were	zaye
lower	osezantsi
doing	besenza
have	Ziye
Those	Ezi
sacred	ongcwele
goddesses	noothixokazi
physical	zokwenyama
integral	ebalulekileyo
met	badibana
sickness	nokugula
of	wokuqala
&#91	ezi
coast	nonxweme
drug	kweziyobisi
that	olwenza
honor	ngembeko
serve	bamkhonzayo
Roman	ngamaRoma
Robert	noRobert
compared	wathelekisa
teachers	ootitshala
visit	atyelela
disagreements	ukungavisisani
Asian	aseAsia
Many	Zininzi
churches	ziicawa
feet	kwiimitha
help	zisinceda
groups	Amaqela
Hitler	UHitler
power	ukulawula
help	ukundinceda
everybody	wonk
you	kuza
love	ekuthandeni
used	esisetyenziswa
hellfire	kwisihogo somlilo
vital	elibalulekileyo
countries	namazwe
fought	balwa
Ishmael	uIshmayeli
high	njengombingeleli
support	baxhasa
thank	Ndiyambulela
dead	Abafileyo
explains	iyachaza
dust	uthuli
business	yoshishino
could	babekwazi
another	wumbi
else	wumbi
is	isekubeni
Christian	nomKristu
secretly	ngokufihlakeleyo
me	unam
witches	amagqwirha
boys	ngamakhwenkwe
builder	umakhi
to	Ukuya
churches	zeecawa
accommodations	yokuhlala
with	nelinye
AIDS	ngoGawulayo
rebels	abavukeli
tell	kukuxelela
fighting	ukulwa
this	kula
Her	kwakhe
These	Ngabo
conflict	ungquzulwano
destroyed	yatshabalalisa
receives	wamkela
children	wabantwana
philosophers	izithandi zobulumko
differences	ukungavisisani
legs	nemilenze
retirement	umhlala phantsi
apostles	njengabapostile
Around	Ehlabathini
anointed	kwabathanjiswa
marriage	nomtshato
strong	ezinamandla
prayer	Ukuthandaza
service	emkhosini
ways	Ngeendlela
sea	kulwandle
1,700	1 700
enjoy	kukunandipha
ships	ziinqanawa
Myanmar	eMyanmar
to	owayeza
named	igama
SA	wase-SA
O	Thixo
and	nokukwazi
life	wokuphila
the	phayaa
to	azama
soon	kudala
degree	kumlinganiselo
captain	umphathi
sick	egula
parent	lomzali
box	kwibhokisi
is	lolona
and	nase
structure	isakhiwo
meal	kwisidlo
opposers	bachasi
having	kukuba
Navy	wamanzi
passage	ndinyana
Every	le
was	wayesenza
Jonah	kaYona
mourning	ukuzila
girls	kumantombazana
possibility	kunokwenzeka
time	mhla
years	engama -
month	kangangenyanga
a	saba
the	okukhona
sister	udadewethu
ready	silungele
Simon	kaSimon
of	iimpawu
disciples	kwabafundi
discussions	ngxubusho
shown	babonisa
impossible	kunzima
study	bafunde
ministry	Kubulungiseleli
tears	waxa iinyembezi
out	kuloo
language	zolwimi
classes	iiklasi
verses	kwindinyana
and	neyama
reflect	sicinga
with	ngokutya
know	Asazi
with	aze
cultures	izithethe
another	Omnye
horizontal	tyaba
the	ezazisenziwa
reason	baqiqa
arm	ingalo
most	yinkoliso
music	ngomculo
singers	iimvumi
best	konke
mother	unyoko
than	kunalawo
symptoms	mpawu
eat	utye
bloodguilt	netyala legazi
greater	ezinkulu
is	sisizathu
some	Kweminye
men	nabantu
published	wapapasha
refers	ithetha
my	ndaya
willing	ngokuzithandela
Spanish	zaseSpeyin
Jehoash	uYehowashe
peace	kuxolo
human	ibutho
took	bathabatha
serving	wayekhonza
for	ukunyanga
may	basenokucinga
say	Bathi
more	okungaphezu
partner	neqabane
mostly	ubukhulu becala
Many	Baninzi
disfellowshipped	osusiweyo kubudlelane
needle	inaliti
such	elolo
is	kwenziwa
into	laba
Bombay	eBombay
be	unokuba
billion	amawaka ezigidi
Nimrod	uNimrodi
Joe	uJoe
original	lokuqala
Father	likaYise
from	msulwa
eat	kutya
think	ngayo
ran	wabaleka
in	kwidolophu
the	
text	sibhalo
now	sithetha
That	Ngelo
translating	ukuguqulela
ability	ukukwazi
trained	abaqeqeshwe
fought	walwa
drought	yimbalela
city	sisixeko
avoid	siyakuphepha
Have	Ingaba
of	abahlala
near	likufuphi
it	
to	ukuvumela
got	ndafumana
political	nezobupolitika
killing	ukubulala
birds	neentaka
&quot	uthi 
William	UWilliam
before	olungaphambi
Gad	bakaGadi
country	yelizwe
also	ngokunjalo
love	bathande
cope	yokuhlangabezana
enemies	ntshaba
did	enza
cities	nemizi
many	ninzi
most	abona
in	kuhlala
of	bamazwe
clear	yacaca
reside	ahlale
century	yoo
peers	noontanga
Scripture	iZibhalo
result	imiphumo
printing	bokushicilela
the	iqela
flee	asabe
calcium	zecalcium
ashes	uthuthu
anointed	wathanjiswa
happened	eyenzekayo
the	kwimimandla
do	senjenjalo
good	neendaba
the	ukufika
and	nobunzima
bags	iingxowa
etc	njalo njalo
divine	kuThixo
the	umlawuli
Witness	uliNgqina
people	Kubantu
with	lwakhe
address	ethi
Not	Kungekhona
shows	Ibonisa
vast	omkhulu
to	kubazalwana
knowing	ndisazi
commonly	Ngokuqhelekileyo
had	wayecinga
Jacques	uJacques
celebration	umbhiyozo
always	osoloko
Washington	eWashington
modern	bezi mini
power	wamandla
did	zange
that	ezifumaneka
shelter	yokuhlala
An	Elinye
Israel	AmaSirayeli
busy	bexakekile
The	Umphathi
towing	yokutsala
study	ngokufunda
Eastern	eMpuma
with	ngako
town	idolophana
by	nge
will	Asiyi
is	Kubalulekile
everywhere	
religious	ngonqulo
thousands	namawaka
banks	iibhanki
interest	inzala
shield	ikhaka
for	esenzela
various	ezininzi
beneficial	luncedo
Today	Ngoku
year	Minyaka
sanctuary	engcweleni
Hospital	Zokunxibelelana Nezibhedlele
medical	yonyango
asked	Ndacela
knots	
men	emadodeni
manuscript	mbhalo ngqangi
controversy	impikiswano
and	nokunceda
is	woku
Nepal	eNepal
soil	nomhlaba
David	bukaDavide
belief	Inkolelo
only	yodwa
beauty	ezintle
Dennis	uDennis
trouble	enkathazweni
much	ingako
veil	isigqubuthelo
being	nokuba
philosophies	iintanda bulumko
misunderstandings	ukungaqondani
It	Kuba
deeds	nangezenzo
other	ngenye
Pharaoh	likaFaro
adverse	oqatha
long	eside
universe	iphela
material	zokwenyama
few	bembalwa
commit	benze
helped	banceda
somebody	umntu
criminal	njengesaphuli mthetho
days	neentsuku
the	ngabona
minute	ngomzuzu
past	Ngaphambili
staff	kubasebenzi
fearing	bamoyikayo
married	batshate
of	yokubonisa
we	sinazo
did	Abazange
We	Asizange
we	side
military	mkhosi
me	kakhulu
names	magama
Recalls	ukhumbula oku
Kim	UKim
Half	Isiqingatha
preaching	sokushumayela
not	ingeyiyo
letters	neeleta
Department	yeSebe
back	ubuyele
Zechariah	UZekariya
throat	emqaleni
different	ezingafaniyo
knowledge	wolwazi
built	eyakhiwa
main	esikhulu
reasons	isizathu
important	lubalulekileyo
walk	ahambe
in	ehleli
should	befanele
trust	kukholosa
to	ukudibanisa
High	Ephakamileyo
buy	yokuthenga
responsibility	banembopheleleko
start	siqalise
precious	anqabileyo
stone	amatye
you	sakho
judging	ukugweba
low	encinane
physical	lokolulwa
time	sexesha
first	ukuqala
may	isenokungabi
penalty	isohlwayo
to	nokuthanda
help	Uncedo
Paul	zikaPawulos
old	esidala
make	esenza
devotion	lokuhlonela
faced	bajamelana
need	uncedo
raised	kuvuswa
priority	yokuqala
when	sele
Proverbs	neMizekeliso
Keeping	Ukugcina
myself	ndedwa
objective	injongo
3	kwabathathu
learns	ufunda
intervened	wangenelela
cooperate	basebenzisane
I	lam
Jack	UJack
with	ngentetho
asked	babuzwa
employers	abaqeshi
showed	babonisa
prevent	ukunqanda
or	kungenjalo
peoples	izizwana
stories	mabali
wanted	Sasifuna
decades	Kangangamashumi eminyaka
	8
right	ngoko
testing	uvavanyo
led	yabangela
helper	umncedi
took	wayithabatha
Science	Inzululwazi
elder	ungumdala
father	sikayise
Hebrew	lwesiHebhere
returning	kokubuyela
letters	ngoonobumba
German	ngesiJamani
worse	ngakumbi
shown	kubonisiwe
to	babeza
interesting	ezibangel umdla
Scriptures	KwiZibhalo
that	Ngolo
hair	kweenwele
why	Yini
as	njengaxa
you	uthetha
killed	abulawa
husbands	kumadoda
250,000	250
the	owenza
Use	Ukusetyenziswa
natural	zendalo
reports	linikela ingxelo
cannot	abanako
different	indlela
this	walo
friend	ngomhlobo
patient	mguli
Law	eMthethweni
I	Ndaqalisa
soon	nje
firstborn	wamazibulo
evening	ngorhatya
came	zeza
a	yindoda
plant	sityalo
amazing	emangalisayo
Your	Wakho
sea	lwandle
imperfect	bengafezekanga
for	isithuba
makes	kundenza
times	kwixesha
stomach	isisu
back	umqolo
news	eendaba
lesson	sifundo
heaven	
we	sithe
example	obalaseleyo
provides	inika
environment	kwimekobume
pain	buhlungu
painful	buhlungu
verses	Kwiindinyana
discussing	wayexubusha
Colombia	eColombia
influence	Impembelelo
states	isithi
using	isebenzisa
details	nkcukacha
fine	oluhle
amount	isixa
to	kulowo
above	kungasentla
periods	amaxesha
their	abahlala
torture	isibonda
battle	emfazweni
manifest	kubonakale
at	sekumnyam
physically	ngokoqobo
the	komgangatho
always	singasoloko
than	kwaleyo
oil	oli
Their	zawo
Immediately	nangoko
make	sisenza
Luther	uLuther
cubs	amathole
much	uninzi
feel	waziva
raising	ekukhuliseni
held	kwaqhutywa
issue	umbandela
boxes	iibhokisi
conclusion	sigqibo
cause	zinokubangela
a	kwisikolo
difficulties	nobunzima
especially	nangakumbi
marriage	imitshato
peace	ndinoxolo
nutrients	izondlo
not	asiyi
told	Ndamxelela
powerful	anamandla
False	lobuxoki
original	lantlandlolo
despair	ukuphelelwa lithemba
Sunday	NgeCawa
can	enokusinceda
congregation	bamabandla
of	bamazwi
judgment	ngumgwebo
fruit	neziqhamo
However	ke
many	bonke
detailed	iinkcukacha
specific	othile
made	kwabangela
Christian	bomKristu
horses	ngamahashe
of	yokuqala
tribulation	yembandezelo
the	umenzi
elders	zabadala
Tamar	uTamare
creature	somoya
standard	imilinganiselo
its	zako
difficulties	neengxaki
spend	kuchitha
birthdays	imihla yokuzalwa
selfish	zokuzingca
them	oku
fifth	sesihlanu
matters	ngemicimbi
unable	engakwazi
not	akwenzeki
harvest	kwisivuno
on	baqhubeka
number	inombolo
salvation	lusindiso
make	kumenza
unique	ekhethekileyo
Encyclopaedia	IEncyclopaedia
abroad	kwamanye amazwe
you	enithe
Repent	Guqukani
usually	udla
Christ	sikaKristu
therefore	ngaloo
They	Benza
obey	ukumthobela
be	kuphila
better	obubhetele
me	kundibona
branch	Iofisi
a	esona
fighting	umlo
Jews	lamaYuda
murder	nokubulala
harmoniously	ngemvisiswano
learned	Safunda
country	ngamazwe
may	Kunokuba
to	waxelela
political	ezopolitiko
a	esikhulu
first	aqale
standing	bemi
needed	ekwakufuneka
other	nakweminye
Los	eLos
Surely	ngokuqinisekileyo
positions	izikhundla
must	umelwe
kept	zigcinwe
Governing	IQumrhu
fathers	noobawo
and	nakwabanye
book	sencwadi ethi
Roman	zamaRoma
decision	nesigqibo
study	besifundo
40	ezingama
officially	ngokusemthethweni
experts	iingcaphephe
speed	kwesantya
Alaska	eAlaska
a	aphile
baptism	nobhaptizo
get	babe
involved	nenxaxheba
storm	isaqhwithi
days	imini
nation	sizwe
inhabitants	kwabemi
absolute	epheleleyo
with	neli
Latin	ngesiLatini
land	kumhlaba
to	lisiya
cattle	neenkomo
Catholics	AmaKatolika
Muslims	namaSilamsi
ready	ilungele
included	kwakukho
than	yokuba
noted	kubonisiwe
rules	lwemithetho
neighborhood	elumelwaneni
forces	amandla
King	NjengoKumkani
prophets	babaprofeti
older	ezindala
approach	ndlela
what	Luluphi
had	wakhe
that	de
called	ibizwa ngokuba
your	kakuhle
am	NdinguYehova
reflect	ibonisa
reality	inyaniso
former	wangaphambili
come	yiza
with	baze
I	Ndaya
imperfections	ukungafezeki
hope	ndinethemba
than	ongaphezu
which	yona
too	Nabo
several	ezahlukahlukeneyo
told	bamxelela
serve	bamkhonza
developed	waba
Saul	sikaSawule
Hungary	eHungary
Albania	eAlbania
my	endifunda
Island	kwiSiqithi
advantage	thuba
the	kufundiswa
she	waye
good	zintle
with	ngawo
distant	ezikude
Naomi	noNahomi
allowed	bavumela
race	gqatso
asked	ndamcela
which	ngalo
leave	kumshiya
No	Kwakungekho
behind	ngemva
from	kwezi
estimate	uqikelelo
a	ngonyaka
possible	Kunokwenzeka
standards	milinganiselo
it	eli
Abel	UAbheli
next	ezayo
resolve	ukucombulula
political	zezopolitiko
The	Elona
Him	Yena
most	Ezona
second	owesibini
&quot	ibinzana
health	zezempilo
Lord	njengeNkosi
Two	ezibini
heavy	onesingqi
serious	ezinkulu
humble	bathobekileyo
mighty	amagorha
eat	sitye
for	kona
baby	umntwana
physician	ngugqirha
being	kuba
It	Akukho
minutes	nemizuzu
they	zithi
about	imalunga
love	ubathanda
negative	ezimbi
examine	uhlolisise
strive	sizame
inspired	esiphefumlelweyo
Seven	esixhenxe
parental	yabazali
United	aseUnited
king	zokumkani
Tahiti	eTahiti
such	izinto
fled	wasaba
library	wogcino zincwadi
they	bafanele
me	endixelela
symbolic	wokomfuziselo
written	ezibhalwe
Satan	sikaSathana
served	owayekhonza
do	sinokukwenza
air	nomoya
	wena
doubt	ngokuqinisekileyo
stop	kuyeka
boldly	ngokungafihlisiyo
conditions	ngeemeko
Moab	kwaMowabhi
over	ezingaphezu kwe
meat	nenyama
Except	Ngaphandle
valuable	exabisekileyo
everyday	zemihla ngemihla
obtain	afumane
health	yezempilo
went	baphuma
none	kungabikho
participate	inxaxheba
in	kwimibandela
open	ukuvula
right	elilungileyo
explanation	ingcaciso
two	kwezimbini
loving	nonothando
encourage	bakhuthaze
led	eyakhokelela
of	yommandla
paths	umendo
of	bala
united	simanyene
feel	Ndiziva
the	omane
Christians	zamaKristu
transport	lwezithuthi
Canada	waseKhanada
State	kuRhulumente
German	yesiJamani
vows	izibhambathiso
races	beentlanga
seekers	bafuna
informal	obungacwangciswanga
loyalty	Ukunyaniseka
page	phepha
to	ukuzama
met	adibana
may	kusenokungabi
spirit	Ngomoya
different	abahlukeneyo
streets	kwizitrato
other	wumbi
Constantine	UConstantine
Can	Ingaba
physician	kugqirha
state	urhulumente
would	aya
Divorce	Uqhawulo mtshato
know	obaziyo
mentions	ikhankanya
neutrality	yobundilele
am	ndim
that	yokokuba
guilty	benetyala
belief	nkolelo
marry	batshate
people	nakubantu
Babylonian	eBhabhiloni
summer	zasehlotyeni
Hebrew	esiHebhere
rods	iintonga
baptism	yobhaptizo
)	) )
hope	Sinethemba
very	ngokwenene
rage	umsindo
of	yemisebenzi
income	ingeniso
knows	waziyo
endurance	nokunyamezela
in	Ngamaxesha
often	rhoqo
144,000	
shortcomings	iintsilelo
their	zalo
I	ndithethe
humans	njengabantu
of	yencwadi
a	isixhobo
women	Amabhinqa
French	ngesiFrentshi
serve	ekukhonzeni
for	okwethutyana
stick	inamathele
smallpox	ingqakaqha
you	sele
come	kubakho
Family	Intsapho
Haiti	eHaiti
Christian	ngomKristu
climate	nemozulu
eye	amehlo
demonstrate	kubonisa
and	nangokuthi
Singapore	eSingapore
to	kangangokuba
victim	ulixhoba
wicked	bangendawo
communicate	ukuncokola
wrong	undonakele
Armageddon	yiArmagedon
secondary	yesibini
our	siya
the	echaza
husband	komyeni
symbolic	zokomfuziselo
highest	iphakamileyo
severe	ngokuqatha
public	ebantwini
humble	sithobeke
also	Waphinda
became	kwabonakala
build	sakhe
is	mntu
capacity	amandla
faithfulness	nokuthembeka
Philip	UPhilip
strict	ngokungqongqo
conflicts	ungquzulwano
evidently	Kuyacaca
Revelation	neSityhilelo
effects	kwimiphumo
coin	ingqekembe
do	besenjenjalo
by	ngegama
leads	ekhokelela
know	bayakwazi
are	ngabona
occurred	yenzeka
vain	lilize
begin	siqalise
circuit	kwisiphaluka
approach	ukuthetha
valley	intlambo
half	sisiqingatha
open	ngokukhululekileyo
the	nezi
described	zichazwe
old	yakudala
pray	ndithandaza
Court	Nkundla
problems	sineengxaki
Ezekiel	sikaHezekile
your	yakowenu
bow	kumphambili
opened	kwavulwa
conclude	agqibe
depends	kuxhomekeka
use	kukusetyenziswa
serve	ekhonza
and	nokungabikho
guards	abalindi
dove	ihobe
writer	nombhali
cannot	asikwazi
other	Amanye
parts	amazwe
heart	nzulu
us	asinike
energy	wamandla
three	bobathathu
at	kuzo
control	yokulawula
homes	makhaya
swiftly	ngokukhawuleza
countries	yamazwe
a	kwintambo
hawser	enkulu
Alfred	uAlfred
loving	obunothando
the	sibona
Absalom	Abhisalom
battles	amadabi
we	sasifumana
soap	isepha
ships	ngeenqanawa
be	ingenziwa
appointed	bamiselwe
is	kufana
are	abakho
has	athe
to	awayefuna
50,000	50 000
days	seentsuku
standing	simi
wooden	ngomthi
of	yabakhonzi
home	wagoduka
assembly	ndibano
picture	umfanekiso
day	Suku
out	tu
avoid	kuphetshwe
one	kanye
as	ukususela
may	basenokuthi
slave	mkhonzi
Caesar	kaKesare
further	ezinye
life	aphila
pressure	yengcinezelo
Baptism	Ubhaptizo
short	obufutshane
study	ufundisisa
on	kuxhomekeke
choose	kukhetha
persons	Abantu
use	esebenzisa
gold	kwegolide
River	noMlambo
lights	izibane
associates	nezinxulumani
trumpets	amaxilongo
which	kuba
giving	wokupha
far	ezikude
pleasant	mnandi
air	womoya
factors	iinkalo
her	yakowayo
Worship	Unqulo
visitors	ndwendwe
sun	yelanga
discouraged	sidimazekile
wife	komfazi
mother	ngonina
younger	umninawa
Her	sakhe
has	kufuneka
grand	elizukileyo
class	Iklasi
to	bahambe
despair	lithemba
and	saze
making	usenza
eggs	amaqanda
forty	amane
Generally	Ngokuqhelekileyo
worldly	lwehlabathi
seed	Imbewu
hundred	abalikhulu
procedures	iinkqubo
used	zisetyenziselwa
laws	yimithetho
There	Zikho
fulfillment	nenzaliseko
share	nabo
bitter	ekrakra
find	ufumanisa
hatred	yintiyo
is	ngu
iron	isinyithi
trust	ukuthembana
camps	iinkampu
rape	ukudlwengulwa
among	babephakathi
anger	Umsindo
mean	kusenokuthetha
Greek	wamaGrike
groom	umyeni
6	ezi-6
heavens	zezulu
miles	ekwiikhilomitha
course	izifundo
anchor	iankile
always	Akusoloko
genuine	okwenene
attack	hlaselo
state	kwilizwana
moved	washukunyiselwa
filled	zizaliswe
coming	kufika
efforts	yimigudu
would	kuphinda
is	ligama
chickens	iinkuku
thorn	iliva
these	Le
source	incwadi
weapons	ngezixhobo
times	
foretold	ezaxelwa kwangaphambili
like	Ndithanda
Canaan	laseKanan
bad	ababi
always	onke
appointed	elimiselweyo
translating	wokuguqulela
stars	njengeenkwenkwezi
bore	wamzalela
Hope	Ithemba
popular	edumileyo
Buddhism	ubuBhuda
woman	intokazi
out	ekuphumeni
beyond	ngaphandle
council	ibhunga
Bernard	uBernard
are	zibekwe
truly	Ngokwenene
Jane	uJane
-	--
only	Kuphela
to	kufana
vessel	inqanawe
than	njengokuba
verses	iivesi
on	ezithetha
and	nakwimimandla
baptized	abhaptizwa
fornication	ukuhenyuza
Catholics	namaKatolika
according	ngokwendlela
who	bangazange
to	sisebenzise
the	lokufika
a	iphepha
anchors	ii-ankile
exist	akakho
green	aluhlaza
know	abayaziyo
be	kufanele
wife	njengomfazi
community	ibutho
because	kungokuba
°	ngokukaCelsius
as	sokuba
strengthen	kusomeleza
Violence	Ugonyamelo
still	sekunjalo
would	ubungayi
fellow	omnye
War	Imfazwe
attitude	sisimo sengqondo
helped	yamnceda
be	kuhle
Tom	uTom
joy	sivuya
All	Ekuphela
crime	olwaphulo mthetho
many	ngabaninzi
Milton	uMilton
integrity	wengqibelelo
shall	liya
north	entla
anybody	nabani
dealings	kwiinkqubano
Passover	yePasika
Animals	Izilwanyana
best	unako
Ecuador	e Ecuador
the	ilungiselelo
what	liphi
Finding	Ukufumana
correct	alungise
reason	sisizathu
true	kwakunjalo
Another	omnye
Israelite	bakwaSirayeli
teaches	usifundisa
large	amaninzi
ways	Iindlela
financial	engokwemali
we	siphawula
and	nabaphathi
interest	ngomdla
the	yinxalenye
wrong	embi
spouses	amaqabane
died	efile
along	ecaleni
deep	ubunzulu
happy	noyolo
Soviet	iSoviet
Jehovah	kwamaNgqina
would	abasayi
choose	akhethe
imagine	nomfanekiso ngqondweni
Sri	eSri
conditions	imeko
to	ukunqanda
exist	zikho
you	uhlala
writings	Imibhalo
heal	okuphilisa
February	NgoFebruwari
describes	ithetha
drive	ukuqhuba
spiritism	nokusebenzelana nemimoya
selfish	ukuzingca
Nazis	ngamaNazi
tons	eetoni
includes	equka
happiness	konwaba
was	engama
rivers	kwimilambo
traffic	mafutha
warm	efudumeleyo
past	Kwiminyaka
third	okwesithathu
path	indlela
Joseph	ngoYosefu
ministerial	izicaka
with	kwakunye
ice	umkhenkce
The	Esona
and	nokubeka
admitted	yavuma
discipline	noqeqesho
there	kuloo
know	uzazi
pitfalls	imigibe
They	Ezi
means	ngoncedo
assemblies	neendibano
—	okanye
relative	isalamane
holy	lungcwele
brotherhood	abazalwana
small	emincinane
churches	ezicaweni
of	bezi
about	neminyaka
unity	ukumanyana
vessels	inqanawa
come	uze
The	IBhayibhile
wicked	yabangendawo
dead	efile
a	kwinqwelo
view	njani
Their	wawo
early	ngaphambi
life	unobomi
put	ndibeke
full	zizele
my	mna wam
stroke	sistroke
the	inqwelo
again	wabuya
Church	kweCawa
tuberculosis	isifo sephepha
foreign	ilizwe
overlook	ngoyaba
paint	ipeyinti
walls	kwiindonga
happy	ukonwaba
Talking	Ukuthetha
construction	ekwakheni
Europe	laseYurophu
seem	abonakala
freedom	ngenkululeko
who	abasebenzisa
When	Ukuqala
worshippers	abakhonzi
months	ziinyanga
sleep	alale
the	isenzo
be	
though	kukuba
told	Waxelela
avoid	akuphephe
can	anako
order	khon
site	ndawo
territories	kwimimandla
Job	bakaYobhi
staff	abasebenzi
working	besebenza
buying	ukuthenga
human	njengabantu
Help	Nceda
failed	wasilela
of	eziphuma
Over	Kwiminyaka
Australia	laseOstreliya
not	kangako
seen	babona
Sign	Yezandla
teaching	nemfundiso
staying	ukuhlala
ever	kunanini
reading	ndifunda
alive	abaphilayo
expected	babelindele
still	kodwa
youth	osemtsha
parenthood	ngumzali
birds	zeentaka
sins	zono
Will	uWill
criminal	zolwaphulo mthetho
Ur	iUre
route	ndlela
something	ithile
satisfying	owanelisayo
review	impinda
rendered	eliguqulelwe ngokuthi
	&#91
broken	eyaphukileyo
urban	ezidolophini
replaced	endaweni
Egyptian	eYiputa
ministry	zobulungiseleli
this	Ngaloo
makes	enze
following	ulandelayo
marvelous	emangalisayo
dollars	zeedola
distances	umgama
newly	abasandul
	, 
heart	abantliziyo
in	nenxaxheba
Scriptures	EZibhalweni
seek	funa
few	imbalwa
made	owenziwe
noted	yaphawula
nectar	incindi
often	zisoloko
English	zamaNgesi
the	ngoyena
never	Masingaze
for	yokufuna
unforgivable	esingaxolelekiyo
tendencies	notyekelo
something	ikho
matter	na
thing	ibalulekileyo
we	esinokuba
World	Lwehlabathi
their	lalo
could	wakwazi
human	zomntu
to	acinge
feel	ngayo
boat	emkhombeni
converts	amaguquka
energy	ngamandla
of	ilungelo
such	kwezi
friendly	abanobuhlobo
South	naseMzantsi
may	usenokungabi
worthless	yanto
experience	kufumana
was	Waye
first	Eyokuqala
politics	kwezopolitiko
century	yee
develop	sibe
a	ingcali
worship	ukukhonza
That	Ngenxa
are	ngoku
usually	kusoloko
André	uAndré
with	kuze
church	cawa
&quot	Incwadi
